שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
אור הישר על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על בבא בתרא.txt,Dicta,1577
אור הישר על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על כתובות.txt,Dicta,1431
אור הישר על מסכת כלה.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת כלה.txt,Dicta,6
אור הישר על מסכת דרך ארץ זוטא.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת דרך ארץ זוטא.txt,Dicta,28
אור הישר על אבות דרבי נתן.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על אבות דרבי נתן.txt,Dicta,97
אור הישר על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על גיטין.txt,Dicta,1186
אור הישר על משנה עדיות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על משנה עדיות.txt,Dicta,170
אור הישר על מסכת תפילין.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת תפילין.txt,Dicta,5
אור הישר על נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על נזיר.txt,Dicta,432
אור הישר על מסכת ספר תורה.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת ספר תורה.txt,Dicta,13
אור הישר על מכות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מכות.txt,Dicta,338
אור הישר על מסכת עבדים.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת עבדים.txt,Dicta,12
אור הישר על נדה.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על נדה.txt,Dicta,846
אור הישר על מסכת שמחות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת שמחות.txt,Dicta,43
אור הישר על מסכת כלה רבתי.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת כלה רבתי.txt,Dicta,29
אור הישר על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על בבא קמא.txt,Dicta,1314
אור הישר על מסכת גרים.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת גרים.txt,Dicta,16
אור הישר על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על סנהדרין.txt,Dicta,1371
אור הישר על סוטה.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על סוטה.txt,Dicta,410
אור הישר על מסכת סופרים.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת סופרים.txt,Dicta,72
אור הישר על מסכת כותים.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת כותים.txt,Dicta,7
אור הישר על עבודה זרה.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על עבודה זרה.txt,Dicta,775
אור הישר על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על יבמות.txt,Dicta,1468
אור הישר על הוריות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על הוריות.txt,Dicta,147
אור הישר על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על שבועות.txt,Dicta,594
אור הישר על מסכת ציצית.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת ציצית.txt,Dicta,5
אור הישר על מסכת דרך ארץ רבה.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על מסכת דרך ארץ רבה.txt,Dicta,29
אור הישר על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על בבא מציעא.txt,Dicta,1176
אור הישר על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על קידושין.txt,Dicta,1093
אור הישר על משנה אבות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/אור הישר על משנה אבות.txt,Dicta,261
אור הישר על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/סדר קדשים/אור הישר על בכורות.txt,Dicta,1067
אור הישר על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/סדר קדשים/אור הישר על חולין.txt,Dicta,4939
אור הישר (זבחים).txt,אוצריא/תלמוד בבלי/אחרונים/אור הישר/סדר קדשים/אור הישר (זבחים).txt,Dicta,3508
ליקוטי מהריל על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/ליקוטי מהריל/סדר נשים/ליקוטי מהריל על כתובות.txt,Dicta,57
ליקוטי מהריל על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/ליקוטי מהריל/סדר נשים/ליקוטי מהריל על קידושין.txt,Dicta,17
ים של שלמה על ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר מועד/ים של שלמה על ביצה.txt,Dicta,511
ים של שלמה על חולין.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על חולין.txt,Dicta,1628
ים של שלמה על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על גיטין.txt,Dicta,990
ים של שלמה על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על כתובות.txt,Dicta,400
ים של שלמה על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/ים של שלמה/סדר נשים/ים של שלמה על קידושין.txt,Dicta,423
